,cbsacode,Dss,spend_per_capita_mean
0,11660,0.1866666666666666,242.9042857142857
1,11700,0.8666666666666667,769.9646428571428
2,11740,0.32,250.9642857142857
3,11820,0.44,253.0067857142857
4,11860,0.3866666666666666,202.34892857142856
5,11900,0.6133333333333333,186.93392857142857
6,11940,0.4,477.2703571428572
7,11980,0.5333333333333333,261.98785714285714
8,12020,0.8933333333333333,829.7582142857143
9,12060,1.0,6975.285
10,12100,0.8933333333333333,647.585
11,12140,0.28,232.04892857142855
12,12180,0.5733333333333334,284.2260714285714
13,12220,0.7066666666666667,354.8857142857143
14,12260,0.9466666666666668,1523.8910714285714
15,12300,0.8133333333333334,245.42607142857145
16,12380,0.52,258.2375
17,12420,1.0,1144.8714285714286
18,12460,0.3333333333333333,182.6425
19,12540,0.88,199.3189285714286
20,12580,0.9866666666666668,1995.4910714285716
21,12620,0.84,252.77428571428567
22,12660,0.6266666666666667,203.75
23,12700,0.8133333333333334,444.8075
24,12740,0.6533333333333333,297.9375
25,12780,0.5333333333333333,233.58464285714285
26,12860,0.5466666666666666,242.52
27,12900,0.52,245.14357142857145
28,38260,0.52,184.31821428571428
29,38300,0.9866666666666668,2166.4489285714285
30,38340,0.7466666666666667,334.05285714285714
31,38380,0.2666666666666666,426.3371428571429
32,38420,0.44,181.59642857142856
33,38460,0.68,257.2707142857143
34,38500,0.4,240.5325
35,37980,0.9866666666666668,3472.618928571429
36,38540,0.76,181.30428571428573
37,38620,0.3866666666666666,228.9575
38,38700,0.3866666666666666,258.1475
39,38740,0.52,223.5614285714286
40,38060,0.9866666666666668,458.2917857142857
41,38820,0.56,296.22
42,38860,0.9333333333333332,986.5442857142856
43,38900,0.9866666666666668,1729.9075
44,38100,0.3733333333333333,244.62357142857144
45,38180,0.3866666666666666,611.6500000000001
46,38220,0.5066666666666667,535.4739285714286
47,38240,0.7466666666666667,293.43607142857144
48,38920,0.1866666666666666,228.83678571428567
49,38940,0.8666666666666667,636.8407142857143
50,39020,0.6933333333333334,223.01392857142855
51,39060,0.7333333333333333,294.485
52,39150,0.72,275.25821428571425
53,39220,0.3066666666666666,159.31285714285715
54,39300,0.96,1865.1514285714284
55,39340,0.9066666666666666,341.7775
56,39380,0.72,225.3167857142857
57,39420,0.3866666666666666,186.57107142857143
58,39460,0.7866666666666666,397.9432142857143
59,39500,0.7466666666666667,495.08821428571423
60,39540,0.7066666666666667,305.2728571428571
61,39580,0.9733333333333334,699.2442857142858
62,39660,0.8,937.5139285714286
63,39700,0.08,184.7075
64,39740,0.84,304.25928571428574
65,39780,0.32,267.1203571428572
66,39820,0.8133333333333334,299.485
67,39860,0.5466666666666666,225.01535714285717
68,39900,0.88,696.8092857142857
69,39940,0.48,323.5314285714286
70,39980,0.6666666666666666,250.9521428571429
71,40060,0.9466666666666668,4408.635
72,40080,0.6133333333333333,643.86
73,40100,0.2666666666666666,149.31428571428572
74,40140,0.9866666666666668,497.8275
75,40180,0.4666666666666667,235.6657142857143
76,40220,0.6533333333333333,1517.2064285714284
77,12980,0.7066666666666667,279.9975
78,13020,0.6933333333333334,277.20464285714286
79,13060,0.32,217.4417857142857
80,13100,0.3066666666666666,253.49464285714288
81,13140,0.7733333333333333,673.4807142857143
82,13180,0.6666666666666666,309.4317857142857
83,13220,0.5733333333333334,611.4207142857142
84,13260,0.44,243.72357142857143
85,13300,0.2933333333333333,180.07571428571427
86,13340,0.4666666666666667,248.8571428571429
87,13380,0.8266666666666667,234.8457142857143
88,13420,0.64,261.49321428571426
89,13460,0.8133333333333334,826.9060714285714
90,13540,0.6533333333333333,321.38714285714286
91,13660,0.4266666666666667,258.2889285714286
92,13700,0.4,171.90928571428572
93,13740,0.8266666666666667,861.0546428571429
94,13780,0.76,593.55
95,13820,1.0,1859.5757142857144
96,13900,0.7733333333333333,821.5175
97,13940,0.5066666666666667,167.12464285714285
98,13980,0.6933333333333334,1018.0253571428572
99,14010,0.76,261.4932142857143
100,14020,0.8,428.55392857142857
101,14100,0.5466666666666666,258.9925
102,14140,0.5733333333333334,522.8917857142857
103,14180,0.3066666666666666,213.37535714285715
104,14260,0.9733333333333334,1071.8207142857143
105,14300,0.16,232.9821428571429
106,14380,0.56,219.81285714285715
107,14420,0.1866666666666666,224.24428571428567
108,14460,1.0,2279.072857142857
109,14500,0.88,239.6842857142857
110,14540,0.8,914.0117857142858
